Model Name,Display Name,Purpose,Generates Text,Supports Search Grounding,Current Quota Status,RPM Limit,RPD Limit
models/deep-research-preview-04-2026,Deep Research Preview (Apr-21-2026),Text Generation,Yes,No,Error: 400 This model only supports Interactions API.,15,1500
models/deep-research-pro-preview-12-2025,Deep Research Pro Preview (Dec-12-2025),Text Generation,Yes,No,Error: 400 This model only supports Interactions API.,15,1500
models/gemini-embedding-001,Gemini Embedding 001,Embedding,No,No,N/A,N/A,N/A
models/gemini-embedding-2-preview,Gemini Embedding 2 Preview,Embedding,No,No,N/A,N/A,N/A
models/gemini-embedding-2,Gemini Embedding 2,Embedding,No,No,N/A,N/A,N/A
models/aqa,Model that performs Attributed Question Answering.,Other,No,No,N/A,N/A,N/A
models/imagen-4.0-generate-001,Imagen 4,Image Generation,No,No,N/A,N/A,N/A
models/imagen-4.0-ultra-generate-001,Imagen 4 Ultra,Image Generation,No,No,N/A,N/A,N/A
models/imagen-4.0-fast-generate-001,Imagen 4 Fast,Image Generation,No,No,N/A,N/A,N/A
models/veo-2.0-generate-001,Veo 2,Video Generation,No,No,N/A,N/A,N/A
models/veo-3.0-generate-001,Veo 3,Video Generation,No,No,N/A,N/A,N/A
models/veo-3.0-fast-generate-001,Veo 3 fast,Video Generation,No,No,N/A,N/A,N/A
models/veo-3.1-generate-preview,Veo 3.1,Video Generation,No,No,N/A,N/A,N/A
models/veo-3.1-fast-generate-preview,Veo 3.1 fast,Video Generation,No,No,N/A,N/A,N/A
models/veo-3.1-lite-generate-preview,Veo 3.1 lite,Video Generation,No,No,N/A,N/A,N/A
models/gemini-2.5-flash-native-audio-latest,Gemini 2.5 Flash Native Audio Latest,Other,No,Yes,N/A,N/A,N/A
models/gemini-2.5-flash-native-audio-preview-09-2025,Gemini 2.5 Flash Native Audio Preview 09-2025,Other,No,Yes,N/A,N/A,N/A
models/gemini-2.5-flash-native-audio-preview-12-2025,Gemini 2.5 Flash Native Audio Preview 12-2025,Other,No,Yes,N/A,N/A,N/A
models/gemini-3.1-flash-live-preview,Gemini 3.1 Flash Live Preview,Other,No,No,N/A,N/A,N/A
models/gemini-3.5-live-translate-preview,Gemini 3.5 Live Translate Preview,Other,No,No,N/A,N/A,N/A
